symbol,time,open,high,low,close,volume,ROC,Histogram,MACD,Signal,ADX,C-O,EMA_50,ATR_14
PRSO,2026-03-04 09:50:00,0.9897,0.9898,0.9859,0.9859,1007.0,1.618223046794487,0.002639446097921678,0.024252865974384252,0.021613419876462574,31.593218974373965,-0.0038000000000000256,0.9363166937034739,0.025053981396600717
PRSO,2026-03-04 09:55:00,0.9878,0.9879,0.9878,0.9879,200.0,-7.672897196261685,0.0012740744751338039,0.02320601297037983,0.021931938495246026,31.950482021965882,9.999999999998899e-05,0.9383395684602004,0.023407268439700667
PRSO,2026-03-04 10:00:00,0.9879,0.9879,0.9879,0.9879,100.0,-5.009615384615385,0.00015154760749680127,0.02212137300461703,0.021969825397120227,32.282226280444085,0.0,0.9402831147950945,0.021735320694007763
PRSO,2026-03-04 10:05:00,0.9879,0.9879,0.9879,0.9879,700.0,-3.147058823529414,-0.0007602695666595813,0.021019488438795753,0.021779758005455334,32.590274520459566,0.0,0.9421504436266595,0.020182797787292924
PRSO,2026-03-04 10:10:00,0.9877,0.99,0.9876,0.9899,3813.0,-0.010101010101004615,-0.0013628508883271676,0.020076194395046376,0.021439045283373544,32.94065143213523,0.0021999999999999797,0.9440229752491434,0.018912597945343425
PRSO,2026-03-04 10:15:00,0.9901,0.9902,0.9901,0.9902,576.0,-0.20157226365652425,-0.0018454046755877196,0.019132289438888894,0.020977694114476614,33.27249640006861,9.999999999998899e-05,0.9458338389648632,0.017583126663533177
PRSO,2026-03-04 10:20:00,0.9901,0.9999,0.99,0.9997,3175.0,-0.020002000200014525,-0.0016361027050258992,0.01893256573319424,0.02056866843822014,33.89546092349532,0.009600000000000053,0.9479462374368294,0.01703433190185224
PRSO,2026-03-04 10:25:00,0.9901,0.9901,0.9901,0.9901,249.0,0.030309153364305175,-0.0022193192739894847,0.017794519345733284,0.02001383861972277,34.473927980962976,0.0,0.9495993261647968,0.01650330819457708
PRSO,2026-03-04 10:30:00,0.9903,0.9903,0.9859,0.9859,2401.0,-0.3940189937361116,-0.0029190242714644127,0.016365058280392253,0.019284082551856666,34.663723613938636,-0.0043999999999999595,0.9510228820014714,0.015638786180678717
PRSO,2026-03-04 10:35:00,0.982,0.99,0.9697,0.978,11818.0,-0.8012983061162382,-0.0038845345763518606,0.014428414331416839,0.0183129489077687,33.62006853414505,-0.0040000000000000036,0.9520808081974922,0.01597173002491595
PRSO,2026-03-04 10:40:00,0.9782,1.02,0.9782,1.02,329.0,3.458768637792886,-0.00177267778824702,0.016097101672459924,0.017869779460706944,33.78711424962225,0.04180000000000006,0.9547443059152376,0.017830892165993387
PRSO,2026-03-04 10:45:00,1.03,1.03,0.964,0.9662,7900.0,-2.196578601072985,-0.003952385849749749,0.012929297148519758,0.016881682998269507,33.04801822123663,-0.06380000000000008,0.9551935488205224,0.02127154272556529
PRSO,2026-03-04 10:50:00,0.9869,0.9869,0.9869,0.9869,101.0,-0.10122482032594027,-0.003944275477925422,0.01195133865086273,0.015895614128788153,32.36171476630713,0.0,0.9564369390628549,0.021230718245167774
PRSO,2026-03-04 10:55:00,0.9764,0.9764,0.9567,0.9569,6033.0,-3.1379694301042593,-0.005791873810167483,0.008655771866078799,0.014447645676246281,30.09254718547582,-0.019500000000000073,0.956455098315292,0.02187138122765579
PRSO,2026-03-04 11:00:00,0.9599,0.98,0.9599,0.98,883.0,-1.0001010203050886,-0.0053038214487719434,0.007817868865281352,0.013121690314053296,28.15025350756294,0.020100000000000007,0.9573784277931237,0.02195913971139466
PRSO,2026-03-04 11:05:00,0.98,0.98,0.98,0.98,400.0,-1.0300949303171048,-0.0048395125451837495,0.007072299632573609,0.011911812177757358,26.34669509235812,0.0,0.9582655482718246,0.02039062973200933
PRSO,2026-03-04 11:10:00,0.9828,0.9928,0.9828,0.9928,736.0,-0.6902070621186418,-0.003586529096032876,0.007428650807716264,0.01101517990374914,25.27774715708805,0.010000000000000009,0.959619840496459,0.019848441894008664
PRSO,2026-03-04 11:15:00,1.0,1.01,1.0,1.0,1900.0,0.9998990001010011,-0.002254107675838597,0.008197545308950893,0.01045165298478949,24.995446547969838,0.0,0.9612033761632646,0.019659267473008047
PRSO,2026-03-04 11:20:00,1.0,1.01,1.0,1.0,4712.0,1.4301653311694862,-0.0013960934190669107,0.00870653621095585,0.010102629630022762,24.733310268074355,0.0,0.9627248123921561,0.01896931979636462
PRSO,2026-03-04 11:25:00,1.0,1.0,1.0,1.0,250.0,2.249488752556239,-0.0008772249273730354,0.009006098470806467,0.009883323398179503,24.489898008171405,0.0,0.9641865844552088,0.017614368382338576
PRSO,2026-03-04 11:30:00,1.0,1.0,1.0,1.0,1122.0,-1.9607843137254943,-0.0005961270015550132,0.009138164646235736,0.009734291647790749,24.263872338261525,0.0,0.965591032123632,0.016356199212171536
PRSO,2026-03-04 11:35:00,1.0,1.0,1.0,1.0,100.0,3.4982405299109898,-0.0004774359837896019,0.009137496668053746,0.009614932651843348,24.053991359059495,0.0,0.9669404034129013,0.015187899268444997
